nome_logradouro;1
JOAO ARANTES;1
CEUTA;1
ERICO VERISSIMO;22
CONTORNO;19
JORGE ANGEL LIVRAGA;2
SEBASTIAO DE BRITO;12
MINISTRO IVAN LINS;1
BOLIVAR MINEIRO;3
ARISTOTELES RIBEIRO VASCONCELOS;3
ANA CARVALHO SILVEIRA;1
MARIA CANDIDA DE JESUS;2
ANA FERREIRA SILVA;1
COSTA DO MARFIM;2
POLYCARPO DE MAGALHAES VIOTTI;1
RENATO TRAVASSOS;1
TITO ALVES PINTO;1
ORSI CONCEICAO MINAS;7
OLGA FRATEZZI;1
ILACIR PEREIRA LIMA;2
CARLOS TURNER;2
ZAIRA DE PAULA;2
LUIZ BALENA;1
ANTONIO BRIGIO PINTO;1
PEDRA CORAL;1
PEDRA DA MATA;1
PEDRA DO MORRO;1
DOIS;3
JOVELINO LACERDA;1
HORACIO TERENA GUIMARAES;5
QUATRO;6
DA LAPA;1
LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA;4
DEPUTADO JOSE RAIMUNDO;1
SESSENTA E UM;1
PROFESSOR CLOVIS DE FARIA;1
PEDRO CELESTINO MENDONCA;1
MONSENHOR JOAO MARTINS;1
TIPUANA;3
DOS ESPORTES;2
MARIA LUCIA PETIT;3
JOSE ANATOLIO FONTES;1
FRANCISCO CAMPOS;1
PROFESSORA LIBERALINA SANTANA;1
NAVARRA;2
GUIDO LEAO;3
DOUTOR JULIO SOARES;1
FLOR DE FOGO;2
IRMA MARIA SOARES;1
LADA GOMES DE OLIVEIRA;1
ATTILIO DE MORO;3
DIMAS GONCALVES DE MEDEIROS;1
CABO VALERIO SANTOS;2
ISMAEL DE OLIVEIRA FABREGAS;1
PERIMETRAL;25
RADIALISTA BLADIMIR ARAUJO;1
SOLFERINA RICCI PACE;14
HAYDEE ABRAS HOMSSI;1
DOUTOR JEFFERSON DE OLIVEIRA;5
VINTE E OITO DE SETEMBRO;3
JOSUE MENEZES;1
VIOLETA;2
VIRGILIO;4
VIRGINOPOLIS;1
VIRIATO MASCARENHAS;1
VISCONDE DE IBITURUNA;6
VISCONDE DO RIO DAS VELHAS;1
VISCONDE DE TAUNAY;11
VISTA ALEGRE;3
VITOR GONCALVES;1
DORESOPOLIS;5
VITORIA;2
PROFESSOR AIMORE DUTRA;3
VITORIO MARCOLA;2
VOLTA REDONDA;6
VOLTS;6
WALDEMAR ROCHA;1
WASHINGTON;1
WENCESLAU BRAZ;1
ALGA VERDE;1
XIMANGO;1
VERA LUCIA;1
VEREADOR GERALDO PEREIRA;3
VEREDA DO PARAISO;1
VESPASIANO;2
CINCO;2
ITAGUA;4
CARACA;15
EDITH ARAUJO;1
SEBASTIAO ALVES COSTA;1
REYNALDO SMITH CAMARGOS;4
BERNARDA SILVESTRE;5
DOS MONDES;2
LUIZ ANTONIO DE MORAIS;2
DOS INDEPENDENTES;1
PROFESSOR DOMICIO MURTA;4
PAU BRASIL;2
ENGENHEIRO CARLOS GOULART;4
DESEMBARGADOR ONOFRE MENDES JUNIOR;3
CONSUL ANTONIO CADAR;4
PAULO CAMILO PENA;3
WALESKA DE SOUZA;2
FILOMENA REIS DE OLIVEIRA;1
VIAMAO;3
VICENTE DE AZEVEDO;1
VICENTE DE CARVALHO;2
VICENTE CUNHA;1
VICENTE RISOLA;7
VICOSA;5
VILA RICA;17
OSWALDO BRAGA;1
NELIO CERQUEIRA;22
NICOLA COSTA;1
DOUTOR JOSE FEROLLA;1
URARICOERA;1
URCA;1
DO URUGUAI;10
URU�ANGA;4
VALPARAISO;1
VARZEA DA PALMA;1
JOAO ALEXANDRE PIRES;1
VENEZUELA;2
ROBERTO CARLOS DE ALMEIDA CUNHA;2
CARLYLE GUIMARAES CARDOSO;1
HOMERO DE RENAULT BAETA;2
TIMOTEO;7
TRIUNFO;1
TUCUMAN;2
TUIUTI;1
TUPINIQUINS;1
DOS TUPIS;23
TURMALINA;1
ADOLFO BEZERRA DE MENEZES;1
URARIRAMA;2
UARIRA;1
UBA;1
UBERABA;6
CONTAGEM;21
SESOSTRIS LEAL PAIXAO;1
BERNARDO FERREIRA DA CRUZ;5
FARMACEUTICO RAUL MACHADO;4
MARCOS ANTONIO CAVANIS;5
JOVINA GOMES DE SOUZA;3
DIRAMIR LOUREIRO;7
GUILHERMINO ESTEVAO NASCIMENTO;1
SENHOR SIMEONE;7
UNIVERSO;2
JOSE ANSELMO NASCIMENTO;1
PAULO DE OLIVEIRA SANTOS;1
DESEMBARGADOR ARTHUR ALBINO;5
TRES PODERES;1
TRES PONTAS;16
ENGENHEIRO PEDRO BAX;1
MANGABEIRA DA SERRA;1
SAO MIGUEL ARCANJO;2
SANTA RITA;6
OTAVIO FALCAO;1
NATALICIO DE ARAUJO SILVA;1
SAO JOAO;3
JOAO PAULO I;4
ALCIDES PEREIRA DOS SANTOS;1
JOAQUIM HENRIQUES FILHO;1
